4 6 4
0.25 0.25 0.25 0.25
0.33333320312499076 0.33333320312499076 0.0 0.33333320312499076
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.3333330078124908 0.3333330078124908 0.3333330078124908 0.0
0.4999992603881706 0.4999992603881706 0.0 0.0
0.0 0.0 1.0 0.0
0.49999944481511366 0.49999944481511366 0.0 0.0
0.4999995234562992 0.4999995234562992 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.0 0.0 0.0 1.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
1.0 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.49999943039636896 0.49999943039636896 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.3333331705729074 0.0 0.3333331705729074 0.3333331705729074
0.4999993329779005 0.0 0.0 0.4999993329779005
0.0 0.0 1.0 0.0
0.4999994876657138 0.0 0.0 0.4999994876657138
0.0 0.0 0.0 1.0
0.25 0.25 0.25 0.25
0.49999955901137993 0.0 0.49999955901137993 0.0
0.9999980761730599 0.0 0.0 0.0
0.0 0.0 1.0 0.0
0.9999975252011875 0.0 0.0 0.0
1.0 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.0 0.0 0.0 1.0
0.0 0.0 0.0 1.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.0 0.0 0.0 1.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.9999979781584291 0.0 0.0 0.0
0.25 0.25 0.25 0.25
1.0 0.0 0.0 0.0
1.0 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.4999990963887977 0.0 0.4999990963887977 0.0
0.9999977114740064 0.0 0.0 0.0
0.0 0.0 1.0 0.0
1.0 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.0 1.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.0 1.0 0.0 0.0
0.0 1.0 0.0 0.0
0.0 0.0 1.0 0.0
0.25 0.25 0.25 0.25
0.0 1.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.0 0.0 0.0 1.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.4999991976799712 0.0 0.0 0.4999991976799712
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.4979997288901277 0.0 0.4979997288901277 0.003999728890154625
0.9999979597910568 0.0 0.0 0.0
0.0 0.0 1.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.8859971582427926 0.0 0.11400258846487965 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.4999994700176962 0.0 0.0 0.4999994700176962
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.4912499564127648 0.0 0.4912499564127648 0.017499956412788842
0.9999450056640543 0.0 0.0 5.377671380353067E-5
0.25 0.25 0.25 0.25
0.9999978929365864 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.9999974416472056 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.9999980567466176 0.0 0.0 0.0
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
0.25 0.25 0.25 0.25
